feature,coef,abs_coef
cat__Station_Mathura Nandgaon Nandgaon Dehat,3.7344082892673214,3.7344082892673214
cat__Station_Mathura Nandgaon Vathainkala,5.404145813732157,5.404145813732157
cat__Station_Mathura Naujheel Badharra,-0.557859475524765,0.557859475524765
cat__Station_Mathura Pharah Nagala Medhaki,1.83658945008915,1.83658945008915
cat__Station_Mathura Rayan Kharaba,-3.338030987570164,3.338030987570164
cat__Station_Meerut Janikhurd Afjalpur Pavati,-0.40019044229393685,0.40019044229393685
cat__Station_Meerut Janikhurd Satvai,2.636563547706629,2.636563547706629
cat__Station_Meerut Sardhana Chhabariya,-1.6869722360119148,1.6869722360119148
"cat__Station_Nagar Palika Campus, Gyanpur",0.3443286510282064,0.3443286510282064
cat__Station_Naglakabu_1,23.43355638778329,23.43355638778329
cat__Station_Narajit,17.54949939771791,17.54949939771791
cat__Station_Navrasia,-0.7112430127103835,0.7112430127103835
cat__Station_Niwabhari Prathmik Vidyalaya,1.3720627844022601,1.3720627844022601
"cat__Station_Office of Assistant Director, Resham",0.06238329975894885,0.06238329975894885
"cat__Station_Office of the Development Officer, Dakore",3.3641052335458426,3.3641052335458426
cat__Station_PAHARPUR BARIGAWA PRATHMIK VIDYALAYA,-3.227977027513589,3.227977027513589
cat__Station_PRIMARY SCHOOL BAKAR GANJ,-2.727448800631464,2.727448800631464
cat__Station_PRIMARY SCHOOL RAMUGHAT,-0.5378913893168544,0.5378913893168544
cat__Station_Paderi,19.033218784333258,19.033218784333258
cat__Station_Pahara_2,12.019521311846233,12.019521311846233
cat__Station_Panchayat Bhawan Kuda Nar Singhpur,-1.0527933872192534,1.0527933872192534
cat__Station_Panchayat Bhawan Usmanpur,6.52384798258538,6.52384798258538
"cat__Station_Panchayat Bhawan, Dohri",1.2627088504598305,1.2627088504598305
"cat__Station_Panchayat Bhawan, Kul Doomri",1.0790071365192944,1.0790071365192944
"cat__Station_Panchayat Bhwan, Kon",-11.098116502755033,11.098116502755033
cat__Station_Pathrodi,12.09560543780458,12.09560543780458
cat__Station_Perthivipur Nayakh,20.094176164461942,20.094176164461942
cat__Station_Piparaond,11.925048997115482,11.925048997115482
cat__Station_Poorv Madhamik Vidhyalaya Kaseti,-1.570556057877866,1.570556057877866
cat__Station_Prathmik Vidhyalaya Bant,-2.0366379040858646,2.0366379040858646
cat__Station_Prathmik Vidhyalaya Barha,4.684053685803519,4.684053685803519
cat__Station_Prathmik Vidhyalaya Mahugarh,4.888268013985453,4.888268013985453
cat__Station_Prathmik Vidhyalaya Manohari,2.7834067948781467,2.7834067948781467
cat__Station_Prathmik Vidhyalaya Pahalgaon,-0.29020722244393937,0.29020722244393937
cat__Station_Prathmik Vidhyalaya Pipra Sarvan,0.46529776941487455,0.46529776941487455
cat__Station_Prathmik Vidhyalaya Sirasiya Pawar,-1.1825735736424576,1.1825735736424576
cat__Station_Prathmik Vidhyalaya Takuli (Durahi Maafi),-3.9967373054726067,3.9967373054726067
"cat__Station_Prathmik Vidhyalaya, Katiliaha",-1.753506539056616,1.753506539056616
"cat__Station_Prathmik Vidhyalaya, Makarndpur",-4.999412153505546,4.999412153505546
"cat__Station_Prathmik Vidhyalaya, Nehlawa",-0.20569242652027242,0.20569242652027242
"cat__Station_Prathmik Vidhyalaya, Phaprana",0.08142234169417861,0.08142234169417861
"cat__Station_Prathmik Vidhyalaya, Shahjahanpur_1",-0.18046400885782532,0.18046400885782532
"cat__Station_Prathmik Vidhyalaya, Thavai",8.163640680506887,8.163640680506887
"cat__Station_Pratmik Vidhyalaya, Kakaruwa",-2.178498060368156,2.178498060368156
cat__Station_Priamry School Mukasim,3.156384722981329,3.156384722981329
"cat__Station_Primary  School, Nawada Kalan",2.7584361232557058,2.7584361232557058
"cat__Station_Primary / Composite School, Banwaripur",5.681150107862919,5.681150107862919
"cat__Station_Primary / Composite School, Chiraudi",1.9071175384885422,1.9071175384885422
"cat__Station_Primary / Composite School, Jainpur",1.5907918614203425,1.5907918614203425
"cat__Station_Primary / Composite School, Jasad",0.32525459972609383,0.32525459972609383
"cat__Station_Primary / Composite School, Mahalaka",-1.0196030399728642,1.0196030399728642
"cat__Station_Primary / Composite School, Mohaddinpur",8.437681856983914,8.437681856983914
"cat__Station_Primary / Composite School, Pepala",5.2914012632253105,5.2914012632253105
"cat__Station_Primary / Composite School, Saradhana Block Office",6.557282236687001,6.557282236687001
cat__Station_Primary School  Bihasara,-2.32491956127069,2.32491956127069
cat__Station_Primary School  Biraura,-5.274835782566242,5.274835782566242
cat__Station_Primary School  Maharaji,0.9640310163652188,0.9640310163652188
cat__Station_Primary School Ashadh,-5.265238605698528,5.265238605698528
cat__Station_Primary School Babura,-1.8303450011765108,1.8303450011765108
cat__Station_Primary School Baijnathpur,-0.9873588199660617,0.9873588199660617
cat__Station_Primary School Bargdhi,0.6008119981028557,0.6008119981028557
cat__Station_Primary School Bhata Diha,0.17676016624105273,0.17676016624105273
cat__Station_Primary School Bilona,-0.8111722066214497,0.8111722066214497
cat__Station_Primary School Campus Aurangabad,0.5231418118618194,0.5231418118618194
cat__Station_Primary School Campus Powai,-0.6023522343356262,0.6023522343356262
cat__Station_Primary School Campus Sikraura,1.7245919543875061,1.7245919543875061
cat__Station_Primary School Chandrapur Bichpuri,2.4597579813885204,2.4597579813885204
cat__Station_Primary School Charkonwa,1.7177788835809906,1.7177788835809906
