station,district,n_windows,stride_rows,raw_rows,xgb_raw_rmse,xgb_stride_rmse,ridge_raw_rmse,ridge_stride_rmse,persist_raw_rmse,persist_stride_rmse,clim_raw_rmse,clim_stride_rmse
Aligarh Khair Utwara,ALIGARH,6,6,654,0.35357688869149084,0.0869723257879942,0.5988261612114487,0.5606879426495656,0.28256576599992134,0.23676713460536877,0.9558671710099015,0.974796960317316
Aligarh Lodha Aisi Kol,ALIGARH,6,6,709,0.35588246161329473,0.1686347172813412,1.4108103146136708,1.570947815579156,0.3536800878155771,0.2363416413260442,1.177705903890727,1.173611737014955
Aligarh Lodha Mahrawalpur Nagariya,ALIGARH,6,6,705,0.4351609162898519,0.4490686200061028,1.3046770699358408,1.6151097716065685,0.5092500028811882,0.5458507963058631,1.0088942538734438,1.0272075737624355
"Anganwadi Kedra, Baini",SONBHADRA,7,7,734,0.418434220808824,0.602364838343308,1.1299729038937454,1.216925186101034,0.4032315669980163,0.4335496273996017,1.8721086980305577,1.9313632488498729
Aryavart Madhyamik Vidhyalaya Sindhora,MIRZAPUR,7,7,746,0.4885803381642268,0.47555344089116064,1.3393105630571032,1.3659953518619563,0.4567234858735264,0.3681030682367153,1.8159145384422648,1.87204531507823
Aswaniya Pr. Vid.,AZAMGARH,7,7,745,0.6340394708888828,0.4696709731656274,1.8756679356353816,1.5316472607995164,0.6793234295329514,0.602540832434294,1.1533380287000232,0.9467840765188242
Awagarh (UP-005),ETAH,6,6,711,0.33877602112230415,0.35184623985462915,2.3944321522312038,2.520278459859059,0.2900580026952475,0.30134157694779046,2.6696991838947706,2.740135840502994
Azamgarh Ahiraula Bahera,AZAMGARH,8,8,858,0.49104021536112336,0.14514480862736898,2.205531546609441,2.2979179010224295,0.39219293776656683,0.1550926897181282,2.1886623930975113,2.3527510582970113
Azamgarh Ahiraula Kandara,AZAMGARH,8,8,852,0.4798673650015873,0.39031600458641436,0.9679228082675401,0.9706288713492404,0.3970268320329383,0.28334627567511655,0.3271841352117199,0.2644888639583643
Azamgarh Atrauliya Atrauliya,AZAMGARH,6,6,713,0.17430822092377768,0.13944456624326199,0.8665538845349129,0.924955440912939,0.13102781683825346,0.06852126401042032,0.4003138066524924,0.4291923205655099
Azamgarh Jahanganj Godhaura,AZAMGARH,8,8,852,0.5050296507325486,0.610483122457035,1.1314641816588349,1.155411450000724,0.4078241250000141,0.46443748781823135,0.6240338183590095,0.674336084083356
Azamgarh Lalganj Lalganj,AZAMGARH,7,7,840,0.552470248062225,0.6873038017321002,1.0868270697360825,0.9984684519342498,0.4459669076343976,0.5131356871079317,0.5132062996770935,0.7196553936883142
Azamgarh Palhana Balahi Lahucha,AZAMGARH,6,6,712,0.2368144651996388,0.23270490084426876,1.0107434483292632,1.0064801277032065,0.06313374558156325,0.021432069200321376,0.34034690480127533,0.31370356239269953
Azamgarh Palhana Jamui Bhatauli,AZAMGARH,7,7,725,0.2911113884339432,0.29488381468890323,1.2223060251152336,1.1693629583401886,0.3315639951619468,0.3478741224215386,0.6904421917692397,0.6192696080627872
Azamgarh Pavai Velasiya,AZAMGARH,8,8,861,0.6177925518961848,0.5819844631708171,0.5721657342635066,0.40673542275662594,0.5951362979614603,0.5375455865225002,2.067818150252084,1.9590917830070536
Azamgarh Sathiyavn Gajahada,AZAMGARH,6,6,713,0.45578617407181193,0.10748913290678704,1.17533467112708,0.9591134075090099,0.45773547209225873,0.2185547235618297,2.7740593333026338,2.654425561952484
Azamgarh Thekama Bardah,AZAMGARH,8,8,861,0.4583787397682883,0.23042174797712942,1.1690893044737534,0.9338047030607538,0.43435512148951166,0.20778352634114428,2.530308008990054,2.4692386312320544
B.D.O Office Bhatini,DEORIA,7,7,765,0.4767078860107749,0.26422794029982954,0.8787966783709299,0.9739371623305202,0.44217006434254813,0.2979883111342179,1.4156681420682853,1.5947720748539982
B.D.O. Office Lar,DEORIA,7,7,821,0.3235635537752971,0.24349141367447624,0.36313395836895107,0.3801507408938968,0.41013299029749195,0.4295239521544271,3.4165507357068403,1.0676383075759186
"B.D.O. Office, Binauli",BAGHPAT,7,7,829,1.6154156758317877,1.710874121051126,2.674011309617025,2.9429092480687746,1.7520350756265626,1.8070821649270092,9.453268301524213,9.250537515391237
BADHANI PRATHMIK VIDYALAYA,GORAKHPUR,7,7,747,0.46031533405082387,0.4493404876911347,0.7203125129102331,0.8509289839487031,0.38562397635074463,0.25121618752451425,1.063213538262358,1.14425268921068
