station,district,anchor,date_from,age_days,anchor_valid,xgb_level,q05_level,q50_level,q95_level,change_30d_m,change_pooled_m,band_half_m,plausible,category
Prathmik Vidhyalaya Pipra Sarvan,DEORIA,-3.057,2026-09-05 00:00:00,5,True,-2.783,-4.49,-2.971,-0.51,0.086,0.274,1.99,True,stable
Aaganwadi Kendra Pakri Bazaar,DEORIA,-3.809,2026-09-05 00:00:00,5,True,-3.535,-5.242,-3.723,-1.122,0.086,0.274,2.06,True,stable
Aagan Wadi Kendra Chandni,JALAUN,-1.125,2026-09-05 00:00:00,5,True,-1.088,-2.571,-1.07,-0.395,0.055,0.037,1.088,True,stable
Primary School Shekhpuri,MEERUT,-5.33,2026-08-15 18:00:00,25,True,-5.131,-6.755,-5.284,-3.667,0.046,0.199,1.544,True,stable
"Prathmik Vidhyalaya, Makarndpur",FATEHPUR,-23.937,2026-09-05 00:00:00,5,True,-23.676,-25.39,-23.913,-19.58,0.024,0.261,2.905,True,stable
Composite School katar,AZAMGARH,-5.07,2026-09-05 00:00:00,5,True,-4.796,-6.491,-5.018,-3.514,0.052,0.274,1.489,True,stable
Comosite School Campus Badalganj,AZAMGARH,-6.054,2026-09-05 00:00:00,5,True,-5.697,-7.482,-5.967,-1.172,0.087,0.357,3.155,True,stable
Goshala Bhadehdu,BANDA,-6.264,2026-09-05 00:00:00,5,True,-5.974,-7.711,-6.236,-1.704,0.028,0.29,3.003,True,stable
"Prathmik Vidhyalaya, Katiliaha",FATEHPUR,-16.649,2026-09-05 00:00:00,5,True,-16.359,-18.115,-16.621,-9.071,0.028,0.29,4.522,True,stable
Primary School Jairampur,JALAUN,-23.047,2026-09-05 00:00:00,5,True,-22.69,-24.48,-22.946,-18.471,0.101,0.357,3.005,True,stable
primary school kapasi,SAHARANPUR,-7.054,2026-09-05 00:00:00,5,True,-6.793,-8.487,-7.03,-2.613,0.024,0.261,2.937,True,stable
Primary School Pinna,MUZAFFARNAGAR,-12.913,2026-09-05 00:00:00,5,True,-12.667,-14.346,-12.872,-8.782,0.041,0.246,2.782,True,stable
Primary School Bhata Diha,GORAKHPUR,-1.547,2026-09-05 00:00:00,5,True,-1.51,-2.975,-1.62,-0.388,-0.073,0.037,1.293,True,stable
Rajkia High School Pakhrauli,BANDA,-13.386,2026-08-17 18:00:00,23,True,-13.096,-14.852,-13.314,-7.534,0.072,0.29,3.659,True,stable
"Uccha Prathmik Vidhyalaya, Lohra (Pampawan)",SONBHADRA,-2.228,2026-09-05 00:00:00,5,True,-3.24,-3.674,-2.104,0.209,0.124,-1.012,1.942,True,stable
"Office of Assistant Director, Resham",SONBHADRA,-0.693,2026-09-04 18:00:00,5,True,-0.675,-2.123,-0.765,-0.041,-0.072,0.018,1.041,True,stable
Primary School Nandapur,FATEHPUR,-18.466,2026-09-01 18:00:00,8,True,-18.205,-19.919,-18.394,-12.908,0.072,0.261,3.505,True,stable
"B.D.O. Office, Binauli",BAGHPAT,-26.736,2026-09-05 00:00:00,5,True,-26.475,-28.189,-26.712,-22.085,0.024,0.261,3.052,True,stable
Primary School Gudha,LALITPUR,-1.478,2026-09-05 00:00:00,5,True,-1.441,-2.917,-1.529,-0.803,-0.051,0.037,1.057,True,stable
Primary School Cholahe,SHRAWASTI,-3.538,2026-09-05 00:00:00,5,True,-3.323,-4.968,-3.516,-1.356,0.022,0.215,1.806,True,stable
Composite School Sanjarpur,MIRZAPUR,-3.137,2026-09-05 00:00:00,5,True,-2.863,-4.567,-3.05,-0.479,0.087,0.274,2.044,True,stable
"Primary School, Kritikhand",FATEHPUR,-13.213,2026-09-05 00:00:00,5,True,-12.923,-14.679,-13.185,-8.416,0.028,0.29,3.132,True,stable
Composite School Kilhora,GHAZIABAD,-16.307,2026-09-05 00:00:00,5,True,-16.061,-17.732,-16.256,-14.209,0.051,0.246,1.762,True,stable
Upper Primary School Rijaula,BUDAUN,-20.745,2026-09-05 00:00:00,5,True,-20.499,-22.168,-20.685,-18.878,0.06,0.246,1.645,True,stable
Punchayat Bhawan Vijaypur,MIRZAPUR,-1.291,2026-09-05 00:00:00,5,True,-1.254,-2.73,-1.354,-0.153,-0.063,0.037,1.288,True,stable
Inter Collage Khampar,DEORIA,-2.686,2026-09-05 00:00:00,5,True,-2.49,-4.119,-2.602,-0.709,0.084,0.196,1.705,True,stable
Prathmik Vidhyalaya Sirasiya Pawar,DEORIA,-2.73,2026-09-05 00:00:00,5,True,-2.534,-4.163,-2.644,-0.361,0.086,0.196,1.901,True,stable
Rajkia Balika Inter College Kamasin,BANDA,-10.806,2026-08-22 00:00:00,19,True,-10.516,-12.272,-10.718,-5.973,0.088,0.29,3.15,True,stable
"Prathmik Vidhyalaya, Nehlawa",SIDDHARTHNAGAR,-1.5,2026-09-05 00:00:00,5,True,-1.463,-2.933,-1.565,-0.239,-0.065,0.037,1.347,True,stable
Primary School Campus Aurangabad,AZAMGARH,-0.699,2026-09-05 00:00:00,5,True,-0.681,-2.129,-0.769,0.103,-0.07,0.018,1.116,True,stable
Primary School Sonda,GHAZIABAD,-4.285,2026-09-05 00:00:00,5,True,-4.086,-5.708,-4.225,-3.001,0.06,0.199,1.354,True,stable
Punchayat Bhawan Bhaluwani,DEORIA,-0.814,2026-09-04 18:00:00,5,True,-0.777,-2.247,-0.894,0.008,-0.08,0.037,1.127,True,stable
Primary School Ashadh,VARANASI,-9.947,2026-09-05 00:00:00,5,True,-9.519,-11.413,-9.832,-4.388,0.115,0.428,3.512,True,stable
Goshala Churaha,HAMIRPUR,-22.832,2026-09-05 00:00:00,5,True,-22.467,-24.298,-22.714,-15.393,0.118,0.365,4.452,True,stable
Composite School Nagla Bair,GHAZIABAD,-8.883,2026-08-09 18:00:00,31,True,-8.637,-10.308,-8.836,-6.404,0.047,0.246,1.952,True,stable
Purva Madhyamik Vidhyalaya Achausa,JHANSI,-2.403,2026-09-05 00:00:00,5,True,-2.18,-3.842,-2.293,-0.684,0.11,0.223,1.579,True,stable
"Uccha Prathmik Vidhyalaya, Hasanpur Kadim",MEERUT,-30.232,2026-09-04 06:00:00,5,True,-30.125,-31.657,-30.179,-28.029,0.053,0.107,1.814,True,stable
Primary School Odaraha,VARANASI,-13.515,2026-09-05 00:00:00,5,True,-13.087,-14.981,-13.41,-6.936,0.105,0.428,4.023,True,stable
Composite School Biralsi,MUZAFFARNAGAR,-8.606,2026-08-27 18:00:00,13,True,-8.345,-10.036,-8.58,-3.488,0.026,0.261,3.274,True,stable
"Purva Madhyamik Vidhyalaya, Chandapur",VARANASI,-2.986,2026-09-05 00:00:00,5,True,-2.641,-4.432,-2.859,-0.593,0.127,0.345,1.919,True,stable
Primary School Dohriya,GORAKHPUR,-0.073,2026-09-05 00:00:00,5,True,-0.055,-1.506,-0.154,0.656,-0.081,0.018,1.081,True,stable
"Prathmik Vidhyalaya, Phaprana",GHAZIABAD,-7.837,2026-08-22 18:00:00,18,True,-7.576,-9.27,-7.809,-3.461,0.028,0.261,2.904,True,stable
Prmary School Rajpura,VARANASI,-8.404,2026-09-05 00:00:00,5,True,-7.976,-9.87,-8.293,-3.404,0.111,0.428,3.233,True,stable
