Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
"ITI Campus, ITI Campus Area",MUZAFFARNAGAR,-,-,29.441185,77.700481,9,781,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Ichora_1,HAMIRPUR,-,-,25.871036,79.542624,7,470,2026-01-01 00:00:00,2026-09-05 18:00:00,False
Indrapura_2,HAMIRPUR,-,-,25.87192222,79.7010351,6,463,2026-02-01 00:00:00,2026-09-05 18:00:00,False
Inter Collage Khampar,DEORIA,-,-,26.355798,84.059758,9,904,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Inter College, Bamrauli-Baraut-Medium",BAGHPAT,-,-,29.10416667,77.26861111,5,565,2026-01-01 00:00:00,2026-05-30 00:00:00,False
"Inter College, Bamrauli-Baraut-Shallow",BAGHPAT,-,-,29.10416667,77.26861111,5,579,2026-01-01 00:00:00,2026-05-30 12:00:00,False
"Inter College, Bhadoi, Shallow",SANT RAVIDAS NAGAR,-,-,25.383272,82.553291,5,532,2026-01-01 00:00:00,2026-05-30 00:00:00,False
"Inter College, Bhadoi-Bhadoi-Medium",SANT RAVIDAS NAGAR,-,-,25.383272,82.553291,5,567,2026-01-01 00:00:00,2026-05-30 00:00:00,False
"Inter College, Nipura-Binauli-Medium",BAGHPAT,-,-,29.229167,77.401667,0,0,,2024-10-04 12:00:00,False
"Inter College, Nipura-Binauli-Shallow",BAGHPAT,-,-,29.229167,77.401667,5,561,2026-01-01 00:00:00,2026-05-30 12:00:00,False
"Inter College, Pratapur, Medium",MEERUT,-,-,29.170581,78.039529,2,141,2026-01-01 00:00:00,2026-02-05 00:00:00,False
"Inter College, Pratapur, Shallow",MEERUT,-,-,29.170581,78.039529,2,153,2026-01-01 00:00:00,2026-02-13 00:00:00,False
"Inter College, Sarv Hitakari",BAGHPAT,-,-,28.953525,78.291638,9,811,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Inter college, Tindwara",BANDA,Banda,-,25.420436,80.363969,8,891,2026-01-05 12:00:00,2026-08-29 00:00:00,True
"Irrigation Department, Amawar",SONBHADRA,-,-,24.1269591,83.294159,9,817,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Jakha_1,MAHOBA,-,-,25.471516,79.466345,7,518,2026-02-01 00:00:00,2026-09-05 18:00:00,False
Jalala_1,HAMIRPUR,-,-,25.889639,80.237526,6,427,2026-02-01 00:00:00,2026-09-05 18:00:00,False
Jalaun (UP-115),JALAUN,JALAUN,-,26.135542,79.33413,5,580,2026-01-01 00:00:00,2026-05-30 06:00:00,False
Jamalpur (UP-146),MIRZAPUR,Mirzapur,-,25.147657,83.090524,5,488,2026-01-01 06:00:00,2026-05-29 18:00:00,False
Jamalpur_2,LALITPUR,-,-,24.92512,78.48457,8,679,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jamua Bajar (UP-149),MIRZAPUR,Mirzapur,-,25.203346,82.705092,5,549,2026-01-01 00:00:00,2026-05-30 00:00:00,False
"Janata Inter College, Lachheda",MUZAFFARNAGAR,-,-,29.410389,77.658445,9,931,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Janta Inter College, Kharkhauda, Medium",MEERUT,-,-,28.843055,77.741942,5,548,2026-01-01 06:00:00,2026-05-30 00:00:00,False
"Janta Inter College, Kharkhauda, Shallow",MEERUT,-,-,28.843055,77.741942,5,557,2026-01-01 00:00:00,2026-05-30 00:00:00,False
Jauharpur,BANDA,-,-,25.708463,80.56846,8,687,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Dobhi Bagerwa,JAUNPUR,-,-,25.596996,83.013419,8,792,2026-01-01 00:00:00,2026-08-27 16:38:00,True
Jaunpur Dobhi Bankati,JAUNPUR,-,-,25.613383,83.012806,9,481,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Dobhi Kachhawan,JAUNPUR,-,-,25.62784,83.003728,9,457,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Dobhi Kakarapar,JAUNPUR,-,-,25.589937,83.038319,9,485,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Jalalpur Katuwani,JAUNPUR,-,-,25.602903,82.852917,9,832,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Jalalpur Marahi,VARANASI,-,-,25.588366,82.852917,9,782,2026-01-16 18:00:00,2026-09-05 18:00:00,False
Jaunpur Jalalpur Mathurapur,VARANASI,-,-,25.606294,82.843363,9,758,2026-01-16 18:00:00,2026-09-05 18:00:00,False
Jaunpur Jalalpur Vanpurwa,JAUNPUR,-,-,25.598358,82.817138,9,827,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Jalalpur Vind,JAUNPUR,-,-,25.581071,82.845642,9,814,2026-01-01 06:00:00,2026-09-05 18:00:00,True
Jaunpur Kerakat  Kharg Senpur,JAUNPUR,-,-,25.598953,82.873162,9,879,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Kerakat Barbaspur (Sohani),JAUNPUR,-,-,25.598945,82.873246,9,850,2026-01-01 00:00:00,2026-09-04 00:00:00,True
Jaunpur Kerakat Mahali,JAUNPUR,-,-,25.579298,82.947359,9,853,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Kerakat Nihalapur,JAUNPUR,-,-,25.58865,82.891742,9,858,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Jaunpur Kerakat Shivrampur Kalan,VARANASI,-,-,25.583748,82.929833,0,0,,2025-08-02 12:00:00,False
Jaunpur Rampur Jamdeeh,VARANASI,-,-,25.463807,82.667198,0,0,,2025-08-12 00:00:00,False
Jaunpur Rampur Kamaruddin,JAUNPUR,-,-,25.435949,82.712692,9,830,2026-01-01 06:00:00,2026-09-05 18:00:00,True
Jaunpur Rampur Kaseru Nonara,JAUNPUR,-,-,25.476637,82.620935,9,489,2026-01-01 00:00:00,2026-09-05 18:00:00,True
