gwl_station,src_station,dist_km
Banda Bisndha Mrooli,Gunta Dam,47.68598785274535
Banda Kamasin Tilowsa,Rasin Dam,40.45977818399262
Banda Kamasin Tilowsa,Rangwa Dam (ARG+AWLR),40.46328356243941
Banda Kamasin Tilowsa,Gunta Dam,44.01551242317094
Banda Tindwari Bhindowra,Rasin Dam,56.143641389242184
Banda Tindwari Bhindowra,Rangwa Dam (ARG+AWLR),56.15086309323574
Banda Tindwari Bhindowra,Gunta Dam,80.78113996447577
Bdo Office Campus Pipraich,Pathar Dewa,46.961348204385416
Bdo Office Campus Pipraich,Bhaluani,55.38704859353854
Bdo Office Campus Pipraich,Mahrajganj_1,74.29482798480502
Bhadarwara  P_1,Sizar Dam,6.769851590273916
Bhadarwara  P_1,Saprar Dam (ARG),8.1789256937956
Bhadarwara  P_1,Pahari Dam,10.77257563050948
Bhitari_2,Gunta Dam,24.361836888707945
Bhitari_2,Rangwa Dam (ARG+AWLR),72.20926124586306
Bhitari_2,Rasin Dam,72.21357200004078
Bijijauri_1,Pahari Dam,21.02435470228279
Bijijauri_1,Sizar Dam,24.89992903663836
Bijijauri_1,Lahchura ARG + D/S,29.122903764198465
Birdha /Poorabirdha,Dhukawan ARG + D/S,24.365394266188023
Birdha /Poorabirdha,Bhaoni Dam-1,31.53039805972116
Birdha /Poorabirdha,Dongri_1,31.748884900731106
Block Deoria Campus Deoria Sadar,Bhaluani,11.876772586319529
Block Deoria Campus Deoria Sadar,Pathar Dewa,17.60666370939142
Block Deoria Campus Deoria Sadar,Bhatpar Rani_1,30.81061786622234
Block Development Office-Khekra-Shallow,Sarauli ARG,10.249862778983443
Block Development Office-Khekra-Shallow,Daulla ARG,14.30475369491525
Block Development Office-Khekra-Shallow,Barut ARG,27.917951873535685
"Block Office, Kurara",Lahchura ARG + D/S,101.05109256802206
"Block Office, Kurara",Lakheri Dam ARG+AWLR,103.84296186213882
"Block Office, Kurara",Pahari Dam,108.58834326813279
"Block office, Gursarai",Lakheri Dam ARG+AWLR,23.499158746815105
"Block office, Gursarai",Pathari Dam,26.427857570933984
"Block office, Gursarai",Lahchura ARG + D/S,33.22775062752431
Budh Sainy_1,Daulla ARG,11.614275071363089
Budh Sainy_1,Barut ARG,21.590792309779637
Budh Sainy_1,Sarauli ARG,23.65467475723029
Chakara  P_1,Pahari Dam,3.0573670051802617
Chakara  P_1,Sizar Dam,8.16951934556445
Chakara  P_1,Lahchura ARG + D/S,12.305428983005397
Chandi Kalan,Rasin Dam,65.27162342719564
Chandi Kalan,Rangwa Dam (ARG+AWLR),65.27930827339162
Chandi Kalan,Lahchura ARG + D/S,99.43061227487999
Chhibaw_1,Rasin Dam,27.77956067440112
Chhibaw_1,Rangwa Dam (ARG+AWLR),27.78726532340712
Chhibaw_1,Gunta Dam,67.28315688532376
Chirautha,Rasin Dam,57.71037519426464
Chirautha,Rangwa Dam (ARG+AWLR),57.71765166231992
Chirautha,Gunta Dam,82.74857983665123
Chitrakoot Karvi Khoha,Gunta Dam,18.42759357750904
Chitrakoot Karvi Khoha,Rangwa Dam (ARG+AWLR),29.52673735419882
Chitrakoot Karvi Khoha,Rasin Dam,29.530689898793632
Chitrakoot Karvi Shivrampur,Rangwa Dam (ARG+AWLR),17.650131507237703
Chitrakoot Karvi Shivrampur,Rasin Dam,17.653078258100987
Chitrakoot Karvi Shivrampur,Gunta Dam,30.66859131721454
Chitrakoot Manikpur Agarhudha,Gunta Dam,3.259892367515952
Chitrakoot Manikpur Agarhudha,Rangwa Dam (ARG+AWLR),44.85236818643639
Chitrakoot Manikpur Agarhudha,Rasin Dam,44.85659161287215
