Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
Primary School Bhata Diha,GORAKHPUR,-,-,26.461038,83.192317,9,888,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Bilona,FATEHPUR,-,-,25.950892,80.585982,9,892,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Campus Aurangabad,AZAMGARH,-,-,25.918269,82.842979,9,892,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Campus Powai,AZAMGARH,-,-,26.17301,82.724903,9,896,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Campus Sikraura,AZAMGARH,-,-,25.749317,82.96128,9,908,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Chandrapur Bichpuri,BAREILLY,-,-,28.375688,79.469907,9,877,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Charkonwa,SONBHADRA,-,-,24.70805,83.285343,9,892,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Chobla,MEERUT,-,-,28.990055,77.525258,9,904,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Cholahe,SHRAWASTI,-,-,27.785702,82.021451,9,863,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Didhai,SIDDHARTHNAGAR,-,-,27.07485,82.836878,9,883,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Dohriya,GORAKHPUR,-,-,26.790972,83.276767,9,916,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School English Medium Qutubpur Labdauna,SAHARANPUR,-,-,29.863856,77.582519,9,900,2026-01-02 00:00:00,2026-09-05 18:00:00,True
Primary School Gudha,LALITPUR,-,-,24.576391,78.83249,9,916,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Harinahpur,MIRZAPUR,-,-,25.144713,82.617596,9,809,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School Harivanshpur,SIDDHARTHNAGAR,-,-,27.354405,83.262064,9,896,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Jagannathpur,BAREILLY,-,-,28.391064,79.106635,9,901,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Jagdishpur Pratham,GORAKHPUR,-,-,26.908421,83.369819,9,916,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Jainpur,GORAKHPUR,-,-,26.901924,83.431349,9,835,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School Jairampur,JALAUN,-,-,26.073342,79.736915,9,896,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Jamunia,MIRZAPUR,-,-,25.051105,82.429218,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Jatmujheda,MUZAFFARNAGAR,-,-,29.467576,77.812204,9,888,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Karwal,GORAKHPUR,-,-,26.4079892,83.4524448,9,838,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School Keshawpur Pratham,GORAKHPUR,-,-,26.762616,83.247742,9,817,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School Kucharam,CHITRAKOOT,-,-,25.355584,80.937801,8,876,2026-01-01 00:00:00,2026-08-26 18:00:00,True
Primary School Kurdi,BAGHPAT,-,-,29.242923,77.158297,9,888,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Madari,FATEHPUR,-,-,26.001147,80.32093,9,784,2026-01-01 00:00:00,2026-09-04 18:00:00,True
Primary School Mainhe hardo,SIDDHARTHNAGAR,-,-,27.169413,82.741091,9,916,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Masuri,GHAZIABAD,-,-,28.689048,77.546232,9,908,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Mohammadpur Gurjar,SAHARANPUR,-,-,29.713612,77.301148,9,912,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Nandapur,FATEHPUR,-,-,26.046211,80.522639,9,880,2026-01-01 00:00:00,2026-09-01 18:00:00,True
Primary School No. 1 Barawad,BAGHPAT,-,-,29.075979,77.326252,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School No.1, Bitaoda",MUZAFFARNAGAR,-,-,29.249461,77.462947,9,791,2026-01-02 09:17:00,2026-09-04 09:17:00,True
Primary School Odaraha,VARANASI,-,-,26.375212,82.747088,9,912,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Pahara,ETAH,-,-,27.54868,79.129681,9,924,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Pinna,MUZAFFARNAGAR,-,-,29.465265,77.637349,9,892,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Radnool Azizpur,BUDAUN,-,-,28.175687,78.640889,9,849,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Rathoda,BAGHPAT,-,-,29.206348,77.211355,9,876,2026-01-02 00:00:00,2026-09-05 18:00:00,True
"Primary School Sahjanwa , Pratham Pipra",GORAKHPUR,-,-,26.751279,83.208295,9,839,2026-01-01 00:00:00,2026-09-05 12:00:00,True
Primary School Sahori,ETAH,-,-,27.594107,79.006204,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Salawa,MEERUT,-,-,29.227554,77.661928,9,900,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Sanda-Sanee,BANDA,-,-,25.501033,80.878924,9,892,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School Shekhpuri,MEERUT,-,-,28.997029,77.591019,8,768,2026-01-01 00:00:00,2026-08-15 18:00:00,True
Primary School Sonda,GHAZIABAD,-,-,28.838694,77.523594,9,900,2026-01-02 00:00:00,2026-09-05 18:00:00,True
Primary School Vamanpura,BUDAUN,-,-,27.849259,79.32002,9,907,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School chandsina,MUZAFFARNAGAR,-,-,29.290644,77.666145,9,793,2026-01-01 00:00:00,2026-09-05 18:00:00,True
Primary School kakrehwa,SIDDHARTHNAGAR,-,-,27.409922,83.214324,9,757,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School,  Todarpur",VARANASI,-,-,25.2604258,82.8635575,9,798,2026-01-01 18:00:00,2026-09-05 12:00:00,True
"Primary School, Anrabali",MEERUT,-,-,29.022015,77.608379,8,357,2026-01-01 00:00:00,2026-08-21 18:00:00,True
"Primary School, Asara Bighawati",BAGHPAT,-,-,29.245882,77.315409,9,868,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Badagaon bharati form",JHANSI,Jhansi,-,25.52784,78.573978,9,824,2026-01-01 00:00:00,2026-09-02 12:00:00,True
