district,year,class,area_sqkm,pct
BAGHPAT,2005-06,"Builtup,Urban",2.294021189,0.1844068479903537
BAGHPAT,2005-06,"Builtup,Rural",83.80486301,6.736725322347268
BAGHPAT,2005-06,"Builtup,Mining",1.009587836,0.08115657845659163
BAGHPAT,2005-06,"Agriculture,Crop land",1114.251305,89.5700405948553
BAGHPAT,2005-06,"Agriculture,Plantation",7.524655636,0.6048758549839228
BAGHPAT,2005-06,"Agriculture,Fallow",17.37646645,1.396822061897106
BAGHPAT,2005-06,"Agriculture, Shifting Cultivation",0.0,0.0
BAGHPAT,2005-06,"Forest,Evergreen/Semi evergreen",0.0,0.0
BAGHPAT,2005-06,"Forest,Deciduous",5.843990098,0.46977412363344057
BAGHPAT,2005-06,"Forest,Forest Plantation",0.0,0.0
BAGHPAT,2005-06,"Forest,Scrub Forest",0.304685098,0.024492371221864952
BAGHPAT,2005-06,"Forest,Swamp/Mangroves",0.0,0.0
BAGHPAT,2005-06,Grass/Grazing,0.688079054,0.055311821061093246
BAGHPAT,2005-06,"Barren/Wastelands, Salt Affected",0.0,0.0
BAGHPAT,2005-06,"Barren/Wastelands, Gullied/Ravinus",0.0,0.0
BAGHPAT,2005-06,"Barren/Wastelands, Scrub land",0.828100692,0.06656757974276527
BAGHPAT,2005-06,"Barren/Wastelands, Sandy area",0.0,0.0
BAGHPAT,2005-06,"Barren/Wastelands, Barren rocky",0.0,0.0
BAGHPAT,2005-06,"Barren/Wastelands, Rann",0.0,0.0
BAGHPAT,2005-06,"Wetlands/Water, Inland Wetland",0.0,0.0
BAGHPAT,2005-06,"Wetlands/Water, Coastal Wetland",0.0,0.0
BAGHPAT,2005-06,"Wetlands/Water, River/Stream/Canal",9.462136514,0.7606219062700965
BAGHPAT,2005-06,"Wetlands/Water, Reservoir/Lake/Pond",0.612109361,0.0492049325562701
BAGHPAT,2005-06,Snow and Glacier,0.0,0.0
BANDA,2011-12,"Builtup,Urban",27.82,0.5943174535355693
BANDA,2011-12,"Builtup,Rural",79.7,1.7026276436658834
BANDA,2011-12,"Builtup,Mining",2.66,0.056825464644306774
BANDA,2011-12,"Agriculture,Crop land",3697.97,78.99957274086734
BANDA,2011-12,"Agriculture,Plantation",70.51,1.5063020722067937
BANDA,2011-12,"Agriculture,Fallow",345.67,7.384533219397564
BANDA,2011-12,"Agriculture, Shifting Cultivation",0.0,0.0
BANDA,2011-12,"Forest,Evergreen/Semi evergreen",0.0,0.0
BANDA,2011-12,"Forest,Deciduous",140.73,3.0064088869899592
BANDA,2011-12,"Forest,Forest Plantation",1.17,0.0249946592608417
BANDA,2011-12,"Forest,Scrub Forest",6.32,0.13501388592181157
BANDA,2011-12,"Forest,Swamp/Mangroves",0.0,0.0
BANDA,2011-12,Grass/Grazing,0.0,0.0
BANDA,2011-12,"Barren/Wastelands, Salt Affected",1.52,0.03247169408246101
BANDA,2011-12,"Barren/Wastelands, Gullied/Ravinus",109.26,2.334116641743217
BANDA,2011-12,"Barren/Wastelands, Scrub land",25.24,0.5392010254219184
BANDA,2011-12,"Barren/Wastelands, Sandy area",0.0,0.0
BANDA,2011-12,"Barren/Wastelands, Barren rocky",2.4,0.05127109591967528
BANDA,2011-12,"Barren/Wastelands, Rann",0.0,0.0
BANDA,2011-12,"Wetlands/Water, Inland Wetland",0.58,0.012390514847254858
BANDA,2011-12,"Wetlands/Water, Coastal Wetland",0.0,0.0
BANDA,2011-12,"Wetlands/Water, River/Stream/Canal",153.97,3.2892544328135016
BANDA,2011-12,"Wetlands/Water, Reservoir/Lake/Pond",15.48,0.33069856868190556
BANDA,2011-12,Snow and Glacier,0.0,0.0
BANDA,2005-06,"Builtup,Urban",53.39678868,1.1407132809228797
BANDA,2005-06,"Builtup,Rural",40.60248613,0.8673891503952147
BANDA,2005-06,"Builtup,Mining",0.0,0.0
BANDA,2005-06,"Agriculture,Crop land",3697.488532,78.98928716086307
BANDA,2005-06,"Agriculture,Plantation",5.779257678,0.12346203114719075
BANDA,2005-06,"Agriculture,Fallow",179.4358862,3.8332810553300574
BANDA,2005-06,"Agriculture, Shifting Cultivation",0.0,0.0
BANDA,2005-06,"Forest,Evergreen/Semi evergreen",0.0,0.0
BANDA,2005-06,"Forest,Deciduous",62.69443186,1.3393384289681693
BANDA,2005-06,"Forest,Forest Plantation",0.0,0.0
BANDA,2005-06,"Forest,Scrub Forest",3.123219983,0.0667212130527665
BANDA,2005-06,"Forest,Swamp/Mangroves",0.0,0.0
BANDA,2005-06,Grass/Grazing,0.0,0.0
BANDA,2005-06,"Barren/Wastelands, Salt Affected",5.126322735,0.10951341027558215
BANDA,2005-06,"Barren/Wastelands, Gullied/Ravinus",301.4327107,6.439493926511429
BANDA,2005-06,"Barren/Wastelands, Scrub land",127.7555209,2.729235652638325
BANDA,2005-06,"Barren/Wastelands, Sandy area",17.79163289,0.3800818818628498
BANDA,2005-06,"Barren/Wastelands, Barren rocky",37.7728809,0.8069404165776543
BANDA,2005-06,"Barren/Wastelands, Rann",0.0,0.0
BANDA,2005-06,"Wetlands/Water, Inland Wetland",1.280625086,0.027357938175603502
BANDA,2005-06,"Wetlands/Water, Coastal Wetland",0.0,0.0
BANDA,2005-06,"Wetlands/Water, River/Stream/Canal",137.8653465,2.9452114185003198
BANDA,2005-06,"Wetlands/Water, Reservoir/Lake/Pond",9.454357929,0.201973038431959
BANDA,2005-06,Snow and Glacier,0.0,0.0
BAREILLY,2011-12,"Builtup,Urban",98.57,2.3924757281553397
BAREILLY,2011-12,"Builtup,Rural",194.21,4.7138349514563105
BAREILLY,2011-12,"Builtup,Mining",0.09,0.002184466019417476
BAREILLY,2011-12,"Agriculture,Crop land",3636.03,88.25315533980583
BAREILLY,2011-12,"Agriculture,Plantation",18.91,0.4589805825242718
BAREILLY,2011-12,"Agriculture,Fallow",5.43,0.13179611650485437
BAREILLY,2011-12,"Agriculture, Shifting Cultivation",0.0,0.0
BAREILLY,2011-12,"Forest,Evergreen/Semi evergreen",0.0,0.0
BAREILLY,2011-12,"Forest,Deciduous",0.0,0.0
BAREILLY,2011-12,"Forest,Forest Plantation",0.0,0.0
BAREILLY,2011-12,"Forest,Scrub Forest",0.0,0.0
BAREILLY,2011-12,"Forest,Swamp/Mangroves",0.0,0.0
BAREILLY,2011-12,Grass/Grazing,0.0,0.0
BAREILLY,2011-12,"Barren/Wastelands, Salt Affected",10.76,0.2611650485436893
BAREILLY,2011-12,"Barren/Wastelands, Gullied/Ravinus",0.0,0.0
BAREILLY,2011-12,"Barren/Wastelands, Scrub land",32.42,0.7868932038834952
BAREILLY,2011-12,"Barren/Wastelands, Sandy area",0.21,0.005097087378640777
BAREILLY,2011-12,"Barren/Wastelands, Barren rocky",0.0,0.0
BAREILLY,2011-12,"Barren/Wastelands, Rann",0.0,0.0
BAREILLY,2011-12,"Wetlands/Water, Inland Wetland",4.77,0.1157766990291262
BAREILLY,2011-12,"Wetlands/Water, Coastal Wetland",0.0,0.0
BAREILLY,2011-12,"Wetlands/Water, River/Stream/Canal",114.28,2.7737864077669903
BAREILLY,2011-12,"Wetlands/Water, Reservoir/Lake/Pond",4.33,0.10509708737864078
BAREILLY,2011-12,Snow and Glacier,0.0,0.0
BAREILLY,2005-06,"Builtup,Urban",86.96655023,2.1108385978155337
BAREILLY,2005-06,"Builtup,Rural",200.389436,4.863821262135922
BAREILLY,2005-06,"Builtup,Mining",0.0,0.0
BAREILLY,2005-06,"Agriculture,Crop land",3462.901133,84.0509983737864
BAREILLY,2005-06,"Agriculture,Plantation",15.53745234,0.3771226296116505
BAREILLY,2005-06,"Agriculture,Fallow",221.4572977,5.375177128640776
BAREILLY,2005-06,"Agriculture, Shifting Cultivation",0.0,0.0
BAREILLY,2005-06,"Forest,Evergreen/Semi evergreen",0.0,0.0
BAREILLY,2005-06,"Forest,Deciduous",0.0,0.0
BAREILLY,2005-06,"Forest,Forest Plantation",0.0,0.0
BAREILLY,2005-06,"Forest,Scrub Forest",0.0,0.0
BAREILLY,2005-06,"Forest,Swamp/Mangroves",0.0,0.0
BAREILLY,2005-06,Grass/Grazing,14.92644287,0.3622923026699029
BAREILLY,2005-06,"Barren/Wastelands, Salt Affected",6.148170208,0.14922743223300972
BAREILLY,2005-06,"Barren/Wastelands, Gullied/Ravinus",0.0,0.0
BAREILLY,2005-06,"Barren/Wastelands, Scrub land",28.3166302,0.687296849514563
BAREILLY,2005-06,"Barren/Wastelands, Sandy area",12.64839306,0.30699983155339805
BAREILLY,2005-06,"Barren/Wastelands, Barren rocky",0.0,0.0
BAREILLY,2005-06,"Barren/Wastelands, Rann",0.0,0.0
BAREILLY,2005-06,"Wetlands/Water, Inland Wetland",2.794463436,0.06782678242718446
BAREILLY,2005-06,"Wetlands/Water, Coastal Wetland",0.0,0.0
BAREILLY,2005-06,"Wetlands/Water, River/Stream/Canal",65.11746636,1.5805210281553397
