Station,District,lat,lon,sand_0_30,silt_0_30,clay_0_30,bdod_0_30,sand_60_100,silt_60_100,clay_60_100,bdod_60_100
Rohari,HAMIRPUR,25.750852,80.057661,36.43333333333333,35.833333333333336,27.733333333333334,1.4566666666666668,34.1,36.8,29.1,1.5
SARAHARI PRATHMIK VIDYALAYA,GORAKHPUR,26.92272,83.349066,29.233333333333334,41.6,29.183333333333334,1.3366666666666667,29.5,40.9,29.5,1.45
Rasin_2,CHITRAKOOT,25.185,80.705,42.31666666666667,33.483333333333334,24.233333333333334,1.4733333333333334,39.9,33.7,26.4,1.56
Saint Ravidas Nagar Abholi Abholi,MIRZAPUR,25.446551,82.368655,27.183333333333334,43.11666666666667,29.7,1.45,25.1,42.3,32.6,1.56
Saint Ravidas Nagar Abholi Gangarampur,MIRZAPUR,25.458174,82.364247,29.216666666666665,42.35,28.4,1.4549999999999998,26.7,41.2,32.2,1.56
Saint Ravidas Nagar Aurai Ugapur,MIRZAPUR,25.3992,82.434861,29.233333333333334,42.56666666666667,28.15,1.4516666666666667,26.4,41.2,32.4,1.56
Saint Ravidas Nagar Deegh  Deegh,MIRZAPUR,25.297279,82.304502,29.366666666666667,41.61666666666667,29.016666666666666,1.4516666666666667,27.7,40.9,31.4,1.53
Saint Ravidas Nagar Deegh Velahua,MIRZAPUR,25.347588,82.350868,29.1,43.266666666666666,27.633333333333333,1.445,26.3,42.2,31.5,1.55
Saint Ravidas Nagar Bhadohi Munshi,MIRZAPUR,25.375199,82.534945,29.383333333333333,40.483333333333334,30.066666666666666,1.5,27.5,39.0,33.5,1.55
Saint Ravidas Nagar Gyanpur Kansapur,MIRZAPUR,25.342994,82.49052,30.316666666666666,39.18333333333333,30.5,1.51,27.0,38.3,34.6,1.56
Saint Ravidas Nagar Aurai Uprauth,MIRZAPUR,25.277409,82.569482,27.366666666666667,41.666666666666664,30.916666666666668,1.4816666666666665,25.6,40.9,33.5,1.52
Saint Ravidas Nagar Gyanpur Samhai,MIRZAPUR,25.355367,82.508795,29.566666666666666,40.36666666666667,30.016666666666666,1.4966666666666666,27.2,39.3,33.6,1.54
Saint Ravidas Nagar Suriyawan Chhapariya,MIRZAPUR,25.456331,82.438271,31.166666666666668,39.78333333333333,29.016666666666666,1.475,28.9,39.4,31.7,1.55
Saital,GORAKHPUR,26.556111,83.378889,31.8,42.13333333333333,26.066666666666666,1.3599999999999999,28.9,38.7,32.5,1.46
"Samaj Sevak Junir High School, Bhaura Kalan",MUZAFFARNAGAR,29.378216,77.449939,36.78333333333333,38.35,24.85,1.3933333333333333,34.1,37.5,28.4,1.41
Saint Ravidas Nagar Suriyawan Mond,MIRZAPUR,25.428869,82.48589,32.6,38.36666666666667,29.033333333333335,1.5083333333333333,29.6,37.3,33.1,1.55
Sanjhak,MUZAFFARNAGAR,29.435278,77.631389,34.15,38.3,27.55,1.4183333333333332,32.3,36.0,31.6,1.44
Semara_1,CHITRAKOOT,25.149208,81.467994,33.4,36.56666666666667,29.966666666666665,1.5083333333333333,34.1,37.9,28.0,1.59
Shahjahanpur Bhawal Kheda Chak Bhitara,BAREILLY,27.845415,79.999868,32.483333333333334,42.75,24.766666666666666,1.345,30.9,39.2,29.9,1.41
Shahjahanpur Bhawal Kheda Bhawal Kheda,BAREILLY,27.895952,79.984973,34.38333333333333,41.833333333333336,23.833333333333332,1.3283333333333334,32.5,39.1,28.4,1.41
Shahjahanpur Bhawal Kheda Chaudhera,BAREILLY,27.818291,79.924457,35.86666666666667,40.53333333333333,23.616666666666667,1.3333333333333333,33.4,38.4,28.1,1.49
Shahjahanpur Bhawal Kheda Ladhauli,BAREILLY,27.941568,79.95473,36.36666666666667,38.78333333333333,24.85,1.3566666666666667,33.3,36.3,30.4,1.47
Shahjahanpur Dadraul Banthara,BAREILLY,27.91887,79.819144,35.983333333333334,42.016666666666666,22.05,1.31,32.8,38.6,28.6,1.39
Shahjahanpur Puvayan  Badagaon Pratham,BAREILLY,28.05027,80.07123,33.71666666666667,39.93333333333333,26.333333333333332,1.3599999999999999,32.8,38.4,28.8,1.45
Shahjahanpur Puvayan Bhilawan,BAREILLY,28.100451,80.097023,35.333333333333336,39.833333333333336,24.816666666666666,1.3566666666666667,33.5,38.0,28.4,1.44
Shahjahanpur Bhawal Kheda Sutnera,BAREILLY,27.90977,80.03193,32.233333333333334,43.516666666666666,24.25,1.3116666666666668,30.9,40.0,29.1,1.41
Shahjahanpur Puvayan Mahua Pathak,BAREILLY,28.025949,80.039412,32.86666666666667,38.2,28.9,1.3316666666666668,32.4,37.4,30.3,1.36
Shahjahanpur Sidhauli Korokuiyan,BAREILLY,28.017453,80.028498,31.716666666666665,38.8,29.483333333333334,1.3266666666666669,31.2,38.7,30.1,1.38
Shahjahanpur Puvayan Nahil,BAREILLY,28.12588,80.04257,36.11666666666667,36.36666666666667,27.516666666666666,1.3516666666666666,34.6,34.2,31.2,1.44
Shahjahanpur Sidhauli Sidhauli,BAREILLY,27.965402,79.967845,36.96666666666667,36.46666666666667,26.616666666666667,1.35,34.6,34.2,31.2,1.46
Shahjahanpur Bhawal Kheda Shahbaj Pur,BAREILLY,27.813481,79.906993,32.583333333333336,43.916666666666664,23.466666666666665,1.3616666666666668,29.2,40.4,30.5,1.46
Sikhula Pz._1,BANDA,25.827644,80.312119,36.083333333333336,38.05,25.916666666666668,1.4333333333333333,33.5,37.8,28.6,1.53
Singhara Pr. Vid.,AZAMGARH,25.92111111,82.98083333,26.233333333333334,40.45,33.31666666666667,1.3933333333333333,24.7,38.0,37.3,1.46
